YearMonth,PM10,Temp,SO2,CO,O3,NO2,Prec,Year,Month
10-Jan,60,-4.5,0.006,0.7,0.016,0.037,29.3,2010,1
10-Feb,51,1.4,0.005,0.53,0.023,0.021,55.3,2010,2
10-Mar,56,4.3,0.006,0.63,0.021,0.024,82.5,2010,3
10-Apr,50,9.5,0.004,0.49,0.029,0.025,62.8,2010,4
10-May,57,17.2,0.005,0.45,0.033,0.024,124,2010,5
10-Jun,49,23.4,0.005,0.43,0.032,0.025,127.6,2010,6
10-Jul,34,25.8,0.004,0.37,0.021,0.017,239.2,2010,7
10-Aug,36,26.5,0.004,0.4,0.019,0.018,598.7,2010,8
10-Sep,31,21.8,0.004,0.4,0.018,0.019,671.5,2010,9
10-Oct,44,14.5,0.004,0.5,0.019,0.025,25.6,2010,10
10-Nov,70,6.5,0.006,0.61,0.016,0.029,10.9,2010,11
10-Dec,62,-1.3,0.006,0.68,0.014,0.028,16.1,2010,12
11-Jan,42,-7.2,0.006,0.6,0.017,0.026,8.9,2011,1
11-Feb,72,1.2,0.007,0.79,0.018,0.034,29.1,2011,2
11-Mar,65,3.6,0.006,0.5,0.029,0.024,14.6,2011,3
11-Apr,58,10.7,0.005,0.49,0.032,0.026,110.1,2011,4
11-May,73,17.9,0.005,0.44,0.031,0.024,53.4,2011,5
11-Jun,48,22,0.005,0.43,0.033,0.022,404.5,2011,6
11-Jul,33,24.6,0.004,0.38,0.019,0.018,1131,2011,7
11-Aug,31,25.8,0.004,0.37,0.02,0.017,166.8,2011,8
11-Sep,32,21.8,0.004,0.39,0.023,0.02,25.6,2011,9
11-Oct,45,14.2,0.004,0.51,0.019,0.028,32,2011,10
11-Nov,43,10.7,0.005,0.56,0.015,0.027,56.2,2011,11
11-Dec,45,-0.9,0.006,0.6,0.014,0.026,7.1,2011,12
12-Jan,56,-2.8,0.008,0.68,0.016,0.027,6.7,2012,1
12-Feb,51,-2,0.006,0.6,0.019,0.027,0.8,2012,2
12-Mar,50,5.1,0.005,0.51,0.028,0.024,47.4,2012,3
