YearMonth,AvgTemp
Jan-81,-7
Feb-81,-1.4
Mar-81,5.7
Apr-81,11.9
May-81,15.9
Jun-81,21.8
Jul-81,25.4
Aug-81,24.5
Sep-81,20
Oct-81,13.4
Nov-81,3.6
Dec-81,0.1
Jan-82,-3.5
Feb-82,0.6
Mar-82,5.9
Apr-82,12.3
May-82,17.9
Jun-82,21.9
Jul-82,25.1
Aug-82,25.4
Sep-82,20.8
Oct-82,15.8
Nov-82,7.9
Dec-82,-0.1
Jan-83,-1.7
Feb-83,-1.7
Mar-83,6.4
Apr-83,13.6
May-83,18.5
Jun-83,22.2
Jul-83,23.6
Aug-83,26
Sep-83,22
Oct-83,14.2
Nov-83,6.7
Dec-83,-1.1
Jan-84,-5.9
Feb-84,-3.5
Mar-84,2.5
Apr-84,12.1
May-84,18.2
Jun-84,22.6
Jul-84,25.2
Aug-84,26.3
Sep-84,20.1
Oct-84,13.8
Nov-84,8.1
Dec-84,-0.9
Jan-85,-5.9
Feb-85,-0.3
Mar-85,4.3
Apr-85,11.6
May-85,18.1
Jun-85,22.1
Jul-85,25.3
Aug-85,26.3
Sep-85,20.2
Oct-85,14.7
Nov-85,5.6
Dec-85,-3.4
Jan-86,-5.4
Feb-86,-3.3
Mar-86,4.9
Apr-86,11.9
May-86,17.1
Jun-86,21.9
Jul-86,23.5
Aug-86,24.5
Sep-86,19.9
Oct-86,12.7
Nov-86,5.2
Dec-86,1.9
Jan-87,-3
Feb-87,-0.1
Mar-87,4
Apr-87,10.8
May-87,17
Jun-87,22.4
Jul-87,23.7
Aug-87,24.4
Sep-87,20.1
Oct-87,15.5
Nov-87,7.5
Dec-87,0.9
Jan-88,-2.1
Feb-88,-1.5
Mar-88,4.3
Apr-88,11.3
May-88,17.9
Jun-88,22.3
Jul-88,24.4
Aug-88,26.4
Sep-88,21.4
Oct-88,15
Nov-88,5.5
Dec-88,0.1
Jan-89,0.8
Feb-89,2.4
Mar-89,6.1
Apr-89,14.3
May-89,17.9
Jun-89,21.2
Jul-89,24.5
Aug-89,25.5
Sep-89,20.7
Oct-89,13.6
Nov-89,7.1
Dec-89,1.4
Jan-90,-3.2
Feb-90,2.7
Mar-90,7.2
Apr-90,11.3
May-90,16.2
Jun-90,20.7
Jul-90,24.9
Aug-90,26.4
Sep-90,21.1
Oct-90,15.4
Nov-90,10
Dec-90,0.8
Jan-91,-2.6
Feb-91,-0.9
Mar-91,4.9
Apr-91,13
May-91,17.5
Jun-91,22.6
Jul-91,24.3
Aug-91,25.5
Sep-91,21.1
Oct-91,13.8
Nov-91,6.5
Dec-91,2.2
Jan-92,-0.2
Feb-92,0.7
Mar-92,7.6
Apr-92,12
May-92,16.4
Jun-92,20.9
Jul-92,24.8
Aug-92,24.8
Sep-92,20.9
Oct-92,14
Nov-92,6.2
Dec-92,1.5
Jan-93,-1.9
Feb-93,1
Mar-93,5.8
Apr-93,10.6
May-93,18.2
Jun-93,21.3
Jul-93,23.3
Aug-93,23.2
Sep-93,21.2
Oct-93,13.4
Nov-93,8.5
Dec-93,-0.2
Jan-94,-0.9
Feb-94,0.8
Mar-94,4
Apr-94,15.2
May-94,17.9
