YearMonth,Prec(mm)
Jan-81,21
Feb-81,12
Mar-81,55.4
Apr-81,55.4
May-81,80.8
Jun-81,109.1
Jul-81,463.8
Aug-81,192.9
Sep-81,129
Oct-81,34.1
Nov-81,46.7
Dec-81,16
Jan-82,26
Feb-82,2.9
Mar-82,46
Apr-82,8.1
May-82,134.6
Jun-82,15.7
Jul-82,195.5
Aug-82,255.8
Sep-82,4.8
Oct-82,46.5
Nov-82,164.8
Dec-82,48.6
Jan-83,11.1
Feb-83,11.7
Mar-83,67.5
Apr-83,113.4
May-83,69
Jun-83,27.4
Jul-83,398.6
Aug-83,132.2
Sep-83,253.4
Oct-83,82.2
Nov-83,28.7
Dec-83,9.9
Jan-84,10.7
Feb-84,14.9
Mar-84,11.4
Apr-84,41.8
May-84,35.2
Jun-84,105.5
Jul-84,269.9
Aug-84,330.9
Sep-84,348.1
Oct-84,21.4
Nov-84,35.5
Dec-84,24.2
Jan-85,31.2
Feb-85,25.9
Mar-85,57.8
Apr-85,69
May-85,177.4
Jun-85,85.4
Jul-85,185.2
Aug-85,438.9
Sep-85,171.7
Oct-85,177.8
Nov-85,82.4
Dec-85,41.9
Jan-86,11.7
Feb-86,8.3
Mar-86,44.3
Apr-86,20.6
May-86,71.5
Jun-86,117.1
Jul-86,351.8
Aug-86,370.3
Sep-86,101
Oct-86,79.6
Nov-86,39.3
Dec-86,31.9
Jan-87,43.4
Feb-87,36.2
Mar-87,34.2
Apr-87,55.3
May-87,126.6
Jun-87,130.3
Jul-87,651.2
Aug-87,521.8
Sep-87,61.1
Oct-87,21.9
Nov-87,66.8
Dec-87,2.6
Jan-88,3.3
Feb-88,4.5
Mar-88,31.3
Apr-88,60.5
May-88,42.8
Jun-88,73.7
Jul-88,382.3
Aug-88,81.3
Sep-88,39.7
Oct-88,8.4
Nov-88,21.1
Dec-88,11.9
Jan-89,44.6
Feb-89,32.7
Mar-89,116.7
Apr-89,14
May-89,41.1
Jun-89,177.1
Jul-89,343.5
Aug-89,329.4
Sep-89,101.2
Oct-89,69.9
Nov-89,154.5
Dec-89,12.4
Jan-90,62.2
Feb-90,64.8
Mar-90,92.3
Apr-90,94.2
May-90,122.8
Jun-90,497.2
Jul-90,486.5
Aug-90,283.5
Sep-90,570.1
Oct-90,0
Nov-90,56
Dec-90,25.9
Jan-91,14.4
Feb-91,28.4
Mar-91,65.5
Apr-91,48.5
May-91,83.2
Jun-91,81.8
Jul-91,487.8
Aug-91,68.2
Sep-91,175.2
Oct-91,27.3
Nov-91,35
Dec-91,42.9
Jan-92,13.6
Feb-92,46.6
Mar-92,11.2
Apr-92,76.5
May-92,155.5
Jun-92,99.6
Jul-92,270.1
Aug-92,418.8
Sep-92,168.5
Oct-92,33.6
Nov-92,89.5
Dec-92,71.4
Jan-93,2.2
Feb-93,69.5
Mar-93,29.2
Apr-93,85.5
May-93,135.7
Jun-93,198.2
Jul-93,424.4
Aug-93,197.8
Sep-93,56.1
