temp,prec,dust,Yellowdustdays,Tropicalnights,heatwavedays,Year
-2.1,42.8,38,0,0,0,2000
-1.7,2.1,66,0,0,0,2000
6.3,3.1,80,5,0,0,2000
11.9,30.7,77,5,0,0,2000
17.5,75.2,69,0,0,0,2000
23.7,68.1,80,0,0,3,2000
26.8,114.7,66,0,6,9,2000
26.2,599.4,37,0,4,6,2000
20.7,178.5,43,0,0,0,2000
14.9,18.1,65,0,0,0,2000
7,27.1,73,0,0,0,2000
0.9,27,73,0,0,0,2000
-4.1,39.4,71,1,0,0,2001
-0.3,45.7,80,0,0,0,2001
5,18.1,102,11,0,0,2001
13.6,12.3,97,9,0,0,2001
19.1,16.5,79,4,0,0,2001
22.5,157.4,83,0,0,0,2001
25.9,698.4,53,0,5,0,2001
26.5,252,39,0,4,4,2001
22.5,49.3,37,0,0,0,2001
16.5,68.2,63,0,0,0,2001
7,13,77,0,0,0,2001
-0.6,15.7,65,2,0,0,2001
0.3,37.4,68,2,0,0,2002
2.9,2.4,80,0,0,0,2002
7.6,31.5,147,6,0,0,2002
13.6,155.1,134,6,0,0,2002
18.2,58,66,0,0,0,2002
22.2,61.4,62,0,0,0,2002
25.2,220.6,49,0,3,3,2002
24.2,688,42,0,1,0,2002
21.6,61.1,58,0,0,0,2002
12.8,45,58,0,0,0,2002
4,12.5,68,2,0,0,2002
1.7,15,69,0,0,0,2002
-2.5,14.1,80,0,0,0,2003
2.7,39.6,84,0,0,0,2003
6.5,26.8,85,1,0,0,2003
13.2,139.6,68,2,0,0,2003
19.6,106,91,0,0,0,2003
21.5,156,81,0,0,0,2003
23.8,469.8,53,0,0,0,2003
24.1,684.2,47,0,1,0,2003
20.9,258.2,54,0,0,0,2003
13.9,41.5,54,0,0,0,2003
9.5,69.3,58,0,0,0,2003
0.7,6.9,76,0,0,0,2003
-1.5,19.8,70,0,0,0,2004
2.3,54.6,68,1,0,0,2004
6.3,27.6,81,4,0,0,2004
13.1,74.1,68,1,0,0,2004
17.6,168.5,71,0,0,0,2004
23.2,138.1,66,0,0,0,2004
24.8,510.7,54,0,4,4,2004
26.1,193.3,35,0,9,6,2004
21.7,198.7,36,0,0,0,2004
15.2,6.5,61,0,0,0,2004
9.1,80,65,0,0,0,2004
1.9,27.2,54,0,0,0,2004
